event_name,event_count,total_user_count,per_event_cnt,event_type
Enter_Q01,79,46,1.717391304,enter_Q
Enter_Q02,71,41,1.731707317,enter_Q
Enter_Q03,69,40,1.725,enter_Q
Enter_Q04,64,36,1.777777778,enter_Q
Enter_Q05,64,36,1.777777778,enter_Q
Enter_Q06,60,34,1.764705882,enter_Q
Enter_Q07,58,32,1.8125,enter_Q
Enter_Q08,58,32,1.8125,enter_Q
Enter_Q09,49,30,1.633333333,enter_Q
Enter_Q10,38,28,1.357142857,enter_Q
Enter_Q11,38,28,1.357142857,enter_Q
Enter_Q12,38,28,1.357142857,enter_Q
Enter_Q13,38,28,1.357142857,enter_Q
Enter_Q14,38,28,1.357142857,enter_Q
Enter_Q15,37,27,1.37037037,enter_Q
Enter_ResultPage,37,27,1.37037037,result_view
page_view,101,55,1.836363636,page_view