학교종류명,학교명,주소,행정동,위도,경도
중학교,마곡하늬중학교,서울특별시 강서구 마곡서1로 16,공항동,37.5581679,126.8209848
중학교,화곡중학교,서울특별시 강서구 강서로45길 70,발산1동,37.5484056,126.8326573
중학교,신정여자중학교,서울특별시 강서구 등촌로13아길 20,화곡4동,37.53841175,126.8571716
중학교,명덕여자중학교,서울특별시 강서구 강서로47길 34-10,발산1동,37.55386948,126.8339773
중학교,마포중학교,서울특별시 강서구 화곡로 403,등촌3동,37.56002771,126.8528649
중학교,등촌중학교,서울특별시 강서구 공항대로 484-12,등촌2동,37.55248221,126.8592148
중학교,덕원중학교,서울특별시 강서구 강서로45길 91-44,발산1동,37.54862258,126.8290245
중학교,마곡중학교,서울특별시 강서구 마곡중앙5로 58,방화1동,37.5680344,126.821326
중학교,화원중학교,서울특별시 강서구 강서로17나길 86,화곡1동,37.53621409,126.8424135
중학교,염창중학교,서울특별시 강서구 양천로67가길 83,염창동,37.55426407,126.8717473
중학교,염경중학교,서울특별시 강서구 양천로69길 35,염창동,37.55453781,126.8705292
중학교,수명중학교,서울특별시 강서구 수명로2길 16,발산1동,37.54856699,126.8240596
중학교,송정중학교,서울특별시 강서구 남부순환로 121,공항동,37.55315807,126.8152435
중학교,성재중학교,서울특별시 강서구 허준로 36,가양1동,37.56950205,126.8454044
중학교,삼정중학교,서울특별시 강서구 금낭화로 210,방화3동,37.58129504,126.8102955
중학교,백석중학교,서울특별시 강서구 등촌로51나길 35,등촌2동,37.54829091,126.8589539
중학교,방화중학교,서울특별시 강서구 개화동로27길 9,방화2동,37.56433471,126.8071069
중학교,방원중학교,서울특별시 강서구 금낭화로 268,방화3동,37.5757386,126.8082204
중학교,등원중학교,서울특별시 강서구 화곡로65길 50,등촌3동,37.55973402,126.8518154
중학교,등명중학교,서울특별시 강서구 공항대로39길 39,등촌3동,37.56019335,126.8433041
중학교,공항중학교,서울특별시 강서구 방화대로 241,공항동,37.56217456,126.814809
중학교,경서중학교,서울특별시 강서구 양천로59길 31,가양3동,37.56124186,126.857764
초등학교,유석초등학교,서울특별시 강서구 화곡로69길 9,등촌3동,37.56080181,126.8537794
초등학교,서울화일초등학교,서울특별시 강서구 까치산로10길 70,화곡본동,37.54071203,126.8474708
초등학교,서울화곡초등학교,서울특별시 강서구 초록마을로 28,화곡본동,37.54366962,126.8464717
초등학교,서울탑산초등학교,서울특별시 강서구 허준로 109,가양2동,37.56700477,126.852594
초등학교,서울치현초등학교,서울특별시 강서구 방화대로47길 43,방화3동,37.57591915,126.8146456
초등학교,서울정곡초등학교,서울특별시 강서구 방화대로50길 22,방화3동,37.5769597,126.8189328
초등학교,서울월정초등학교,서울특별시 강서구 월정로 176,화곡1동,37.53499419,126.8362936
초등학교,서울우장초등학교,서울특별시 강서구 화곡로 263,화곡6동,37.54963819,126.8459842
초등학교,서울염창초등학교,서울특별시 강서구 양천로 646-28,염창동,37.55322614,126.8676002
초등학교,서울염동초등학교,서울특별시 강서구 양천로73길 17,염창동,37.55209548,126.8723509
초등학교,서울염경초등학교,서울특별시 강서구 양천로69길 49,염창동,37.55500067,126.8712046
초등학교,서울양천초등학교,서울특별시 강서구 양천로 329,가양1동,37.57018817,126.8395397
초등학교,서울신정초등학교,서울특별시 강서구 곰달래로31가길 27,화곡2동,37.53207171,126.8523579
초등학교,서울신월초등학교,서울특별시 강서구 강서로31길 48,화곡1동,37.54036551,126.8394555
초등학교,서울신곡초등학교,서울특별시 강서구 등촌로13자길 42-14,화곡4동,37.53909546,126.8560096
초등학교,서울수명초등학교,서울특별시 강서구 수명로1길 84,발산1동,37.55277267,126.8238794
초등학교,서울송화초등학교,서울특별시 강서구 방화대로34길 2,방화1동,37.56815047,126.8180329
초등학교,서울송정초등학교,서울특별시 강서구 공항대로3길 18,공항동,37.56223089,126.8102813
초등학교,서울삼정초등학교,서울특별시 강서구 금낭화로 222,방화3동,37.58050843,126.8104937
초등학교,서울백석초등학교,서울특별시 강서구 공항대로 491,등촌1동,37.55364765,126.8624258
초등학교,서울방화초등학교,서울특별시 강서구 양천로6길 92,방화2동,37.56870409,126.8074982
초등학교,서울발산초등학교,서울특별시 강서구 강서로45길 113,발산1동,37.55026244,126.8309944
초등학교,서울등현초등학교,서울특별시 강서구 화곡로65길 124,등촌3동,37.56145118,126.8475984
초등학교,서울등촌초등학교,서울특별시 강서구 등촌로39길 71,등촌2동,37.54761422,126.8579422
초등학교,서울등원초등학교,서울특별시 강서구 화곡로65길 90,등촌3동,37.55981354,126.850069
초등학교,서울등양초등학교,서울특별시 강서구 강서로56나길 140,등촌3동,37.56494704,126.8447602
초등학교,서울등서초등학교,서울특별시 강서구 화곡로58길 86,화곡6동,37.55188439,126.8550381
초등학교,서울등명초등학교,서울특별시 강서구 강서로56나길 34,등촌3동,37.56089445,126.8423822
초등학교,서울등마초등학교,서울특별시 강서구 등촌로35길 12,등촌2동,37.54204371,126.8616672
초등학교,서울내발산초등학교,서울특별시 강서구 강서로46길 23,우장산동,37.55088255,126.8381642
초등학교,서울공항초등학교,서울특별시 강서구 마곡서1로 68,방화1동,37.56311072,126.8213169
초등학교,서울공진초등학교,서울특별시 강서구 마곡서로 33,공항동,37.55783088,126.8228061
초등학교,서울개화초등학교,서울특별시 강서구 양천로 11,방화1동,37.57392624,126.8046942
초등학교,서울가양초등학교,서울 강서구 허준로 186,가양3동,37.56221719,126.8585216
초등학교,서울가곡초등학교,서울특별시 강서구 공항대로36길 74,발산1동,37.55570761,126.8361031
고등학교,서울신정고등학교,서울특별시 강서구 등촌로13아길 20,화곡4동,37.53841175,126.8571716
특수학교,서울서진학교,서울특별시 강서구 양천로55길 22,가양2동,37.56547682,126.8506223
고등학교,서울항공비즈니스고등학교,서울특별시 강서구 방화대로34길 13,방화1동,37.56921778,126.8170408
평생학교(중)-2년6학기,학력인정 성지중학교(2년제),서울특별시 강서구 화곡로 182,화곡본동,37.54201393,126.8418906
평생학교(고)-2년6학기,학력인정 성지고등학교(2년제),서울특별시 강서구 화곡로 182,화곡본동,37.54201393,126.8418906
고등학교,화곡보건경영고등학교,서울특별시 강서구 강서로45길 70,발산1동,37.5484056,126.8326573
고등학교,동양고등학교,서울특별시 강서구 허준로 50,가양1동,37.56903024,126.8468888
고등학교,수명고등학교,서울특별시 강서구 수명로2길 15,발산1동,37.54976186,126.8247662
고등학교,경복비즈니스고등학교,서울특별시 강서구 화곡로 379,등촌3동,37.55809726,126.8526703
고등학교,세현고등학교,서울특별시 강서구 허준로 227,가양3동,37.56043066,126.8636211
고등학교,등촌고등학교,서울특별시 강서구 공항대로39길 115,등촌3동,37.56294522,126.8450461
특수학교,교남학교,서울특별시 강서구 까치산로22길 38,화곡6동,37.54797109,126.852349
고등학교,영등포공업고등학교,서울특별시 강서구 허준로5길 15,가양2동,37.56983562,126.8500283
고등학교,강서공업고등학교,서울특별시 강서구 방화대로47길 9,방화3동,37.57603409,126.8161817
고등학교,화곡고등학교,서울특별시 강서구 강서로45길 69,발산1동,37.54793611,126.8315357
고등학교,한서고등학교,서울특별시 강서구 양천로11길 47,방화1동,37.5747927,126.8081439
고등학교,한광고등학교,서울특별시 강서구 등촌로13길 110,화곡4동,37.53884371,126.8579393
고등학교,영일고등학교,서울특별시 강서구 등촌로51가길 26,등촌2동,37.54728726,126.8620589
고등학교,명덕외국어고등학교,서울특별시 강서구 강서로47길 34-10,발산1동,37.55386948,126.8339773
고등학교,명덕여자고등학교,서울특별시 강서구 강서로47길 34-10,발산1동,37.55386948,126.8339773
고등학교,명덕고등학교,서울특별시 강서구 강서로47길 34-10,발산1동,37.55386948,126.8339773
고등학교,마포고등학교,서울특별시 강서구 화곡로 403,등촌3동,37.56002771,126.8528649
고등학교,덕원예술고등학교,서울특별시 강서구 강서로45길 91-44,발산1동,37.54862258,126.8290245
고등학교,덕원여자고등학교,서울특별시 강서구 강서로45길 91-44,발산1동,37.54862258,126.8290245
고등학교,대일고등학교,서울특별시 강서구 등촌로 105,등촌2동,37.5394887,126.8634031
고등학교,경복여자고등학교,서울특별시 강서구 화곡로63길 40,등촌3동,37.55782183,126.8505957
고등학교,공항고등학교,서울특별시 강서구 방화대로34길 43,방화1동,37.57046109,126.8185198
