,이름,행정동,위도,경도
0,서울공항초등학교병설유치원,방화1동,37.56311072,126.8213169
1,한나유치원,방화3동,37.57680385,126.8102869
2,화곡유치원,화곡본동,37.54378035,126.8466786
3,선미유치원,화곡본동,37.53933165,126.8436416
4,서울공진초등학교병설유치원,공항동,37.55783088,126.8228061
5,보라유치원,등촌3동,37.56361691,126.8473931
6,서강유치원,방화2동,37.56861466,126.8115422
7,신세기유치원,가양1동,37.57101357,126.8465852
8,서울정곡초등학교병설유치원,방화3동,37.5769597,126.8189328
9,신영유치원,화곡8동,37.53098782,126.849228
10,강서유치원,화곡6동,37.54821327,126.850057
11,대유유치원,화곡4동,37.53400744,126.8615982
12,문성유치원,우장산동,37.547022,126.844587
13,우람유치원,방화1동,37.57488098,126.8143291
14,우일유치원,화곡2동,37.53517807,126.855325
15,우리곰유치원,가양1동,37.57121146,126.843592
16,공항제일유치원,방화2동,37.56523444,126.8106723
17,등현유치원,등촌3동,37.5614611,126.8485182
18,유니유치원,가양3동,37.56375809,126.8592894
19,방화이화유치원,방화1동,37.57408919,126.8135281
20,예지유치원,공항동,37.55766194,126.8132171
21,진일유치원,가양2동,37.56709401,126.8547358
22,예은유치원,화곡본동,37.53894892,126.8472328
23,수미유치원,화곡1동,37.53216869,126.8385428
24,서울염경초등학교병설유치원,염창동,37.55500067,126.8712046
25,등촌이화유치원,등촌3동,37.55973884,126.8479542
26,서울월정초등학교병설유치원,화곡1동,37.53499419,126.8362936
27,미래유치원,방화2동,37.57102749,126.8063998
28,서울내발산초등학교병설유치원,우장산동,37.55088255,126.8381642
29,대붕유치원,가양3동,37.5618458,126.8568007
30,아이파크예원유치원,우장산동,37.54826258,126.8409806
31,동그라미유치원,화곡6동,37.55011396,126.8491643
32,국제유치원,가양1동,37.57051313,126.8229443
33,등촌제일유치원,등촌1동,37.55546786,126.8593734
34,미래클유치원,발산1동,37.55238534,126.8229843
35,장미유치원,가양2동,37.56461212,126.8562786
36,홍신유치원,발산1동,37.5481092,126.8325565
37,아람유치원,방화3동,37.5794087,126.8125928
38,서울화일초등학교병설유치원,화곡본동,37.54071203,126.8474708
39,윤서유치원,화곡3동,37.54724497,126.8322439
40,미도유치원,등촌2동,37.55046975,126.8609722
41,해리유치원,가양3동,37.55855504,126.8633761
42,예일유치원,발산1동,37.55370085,126.8291969
43,우현유치원,우장산동,37.55707841,126.8380811
44,윤희유치원,우장산동,37.5457326,126.8375561
45,서울마곡유치원,방화1동,37.5692704,126.8180306
46,밤비니유치원,공항동,37.55890492,126.809589
47,행복한유치원,등촌3동,37.56259661,126.8419733
48,서울수명유치원,발산1동,37.55238534,126.8229843
49,새싹유치원,화곡4동,37.53220842,126.8580387
50,나나유치원,화곡4동,37.53594319,126.8573239
51,서울금낭화유치원,방화2동,37.56861466,126.8115422
52,서울신곡초등학교병설유치원,화곡4동,37.53909546,126.8560096
53,서울등촌초등학교병설유치원,등촌2동,37.54761422,126.8579422
54,서울탑산초등학교병설유치원,가양2동,37.56700477,126.852594
55,서울신월초등학교병설유치원,화곡1동,37.54036551,126.8394555
56,서울송정초등학교병설유치원,공항동,37.56223089,126.8102813
57,서울개화초등학교병설유치원,방화1동,37.57392624,126.8046942
58,이솔유치원,화곡2동,37.53126314,126.8522056
59,서울가양초등학교병설유치원,가양3동,37.56221719,126.8585216
60,서울등명초등학교병설유치원,등촌3동,37.56089445,126.8423822
61,마곡하늬중학교,공항동,37.5581679,126.8209848
62,화곡중학교,발산1동,37.5484056,126.8326573
63,신정여자중학교,화곡4동,37.53841175,126.8571716
64,명덕여자중학교,발산1동,37.55386948,126.8339773
65,마포중학교,등촌3동,37.56002771,126.8528649
66,등촌중학교,등촌2동,37.55248221,126.8592148
67,덕원중학교,발산1동,37.54862258,126.8290245
68,마곡중학교,방화1동,37.5680344,126.821326
69,화원중학교,화곡1동,37.53621409,126.8424135
70,염창중학교,염창동,37.55426407,126.8717473
71,염경중학교,염창동,37.55453781,126.8705292
72,수명중학교,발산1동,37.54856699,126.8240596
73,송정중학교,공항동,37.55315807,126.8152435
74,성재중학교,가양1동,37.56950205,126.8454044
75,삼정중학교,방화3동,37.58129504,126.8102955
76,백석중학교,등촌2동,37.54829091,126.8589539
77,방화중학교,방화2동,37.56433471,126.8071069
78,방원중학교,방화3동,37.5757386,126.8082204
79,등원중학교,등촌3동,37.55973402,126.8518154
80,등명중학교,등촌3동,37.56019335,126.8433041
81,공항중학교,공항동,37.56217456,126.814809
82,경서중학교,가양3동,37.56124186,126.857764
83,유석초등학교,등촌3동,37.56080181,126.8537794
84,서울화일초등학교,화곡본동,37.54071203,126.8474708
85,서울화곡초등학교,화곡본동,37.54366962,126.8464717
86,서울탑산초등학교,가양2동,37.56700477,126.852594
87,서울치현초등학교,방화3동,37.57591915,126.8146456
88,서울정곡초등학교,방화3동,37.5769597,126.8189328
89,서울월정초등학교,화곡1동,37.53499419,126.8362936
90,서울우장초등학교,화곡6동,37.54963819,126.8459842
91,서울염창초등학교,염창동,37.55322614,126.8676002
92,서울염동초등학교,염창동,37.55209548,126.8723509
93,서울염경초등학교,염창동,37.55500067,126.8712046
94,서울양천초등학교,가양1동,37.57018817,126.8395397
95,서울신정초등학교,화곡2동,37.53207171,126.8523579
96,서울신월초등학교,화곡1동,37.54036551,126.8394555
97,서울신곡초등학교,화곡4동,37.53909546,126.8560096
98,서울수명초등학교,발산1동,37.55277267,126.8238794
99,서울송화초등학교,방화1동,37.56815047,126.8180329
100,서울송정초등학교,공항동,37.56223089,126.8102813
101,서울삼정초등학교,방화3동,37.58050843,126.8104937
102,서울백석초등학교,등촌1동,37.55364765,126.8624258
103,서울방화초등학교,방화2동,37.56870409,126.8074982
104,서울발산초등학교,발산1동,37.55026244,126.8309944
105,서울등현초등학교,등촌3동,37.56145118,126.8475984
106,서울등촌초등학교,등촌2동,37.54761422,126.8579422
107,서울등원초등학교,등촌3동,37.55981354,126.850069
108,서울등양초등학교,등촌3동,37.56494704,126.8447602
109,서울등서초등학교,화곡6동,37.55188439,126.8550381
110,서울등명초등학교,등촌3동,37.56089445,126.8423822
111,서울등마초등학교,등촌2동,37.54204371,126.8616672
112,서울내발산초등학교,우장산동,37.55088255,126.8381642
113,서울공항초등학교,방화1동,37.56311072,126.8213169
114,서울공진초등학교,공항동,37.55783088,126.8228061
115,서울개화초등학교,방화1동,37.57392624,126.8046942
116,서울가양초등학교,가양3동,37.56221719,126.8585216
117,서울가곡초등학교,발산1동,37.55570761,126.8361031
118,서울신정고등학교,화곡4동,37.53841175,126.8571716
119,서울서진학교,가양2동,37.56547682,126.8506223
120,서울항공비즈니스고등학교,방화1동,37.56921778,126.8170408
121,학력인정 성지중학교(2년제),화곡본동,37.54201393,126.8418906
122,학력인정 성지고등학교(2년제),화곡본동,37.54201393,126.8418906
123,화곡보건경영고등학교,발산1동,37.5484056,126.8326573
124,동양고등학교,가양1동,37.56903024,126.8468888
125,수명고등학교,발산1동,37.54976186,126.8247662
126,경복비즈니스고등학교,등촌3동,37.55809726,126.8526703
127,세현고등학교,가양3동,37.56043066,126.8636211
128,등촌고등학교,등촌3동,37.56294522,126.8450461
129,교남학교,화곡6동,37.54797109,126.852349
130,영등포공업고등학교,가양2동,37.56983562,126.8500283
131,강서공업고등학교,방화3동,37.57603409,126.8161817
132,화곡고등학교,발산1동,37.54793611,126.8315357
133,한서고등학교,방화1동,37.5747927,126.8081439
134,한광고등학교,화곡4동,37.53884371,126.8579393
135,영일고등학교,등촌2동,37.54728726,126.8620589
136,명덕외국어고등학교,발산1동,37.55386948,126.8339773
137,명덕여자고등학교,발산1동,37.55386948,126.8339773
138,명덕고등학교,발산1동,37.55386948,126.8339773
139,마포고등학교,등촌3동,37.56002771,126.8528649
140,덕원예술고등학교,발산1동,37.54862258,126.8290245
141,덕원여자고등학교,발산1동,37.54862258,126.8290245
142,대일고등학교,등촌2동,37.5394887,126.8634031
143,경복여자고등학교,등촌3동,37.55782183,126.8505957
144,공항고등학교,방화1동,37.57046109,126.8185198
145,시립 강서노인종합복지관,등촌3동,37.5581231966538,126.847551552263
146,등촌4종합복지관경로당,등촌3동,37.5622560104409,126.842904416929
147,천사노인요양원,화곡3동,37.54669189732,126.833485621837
148,서울시니어스가양타워,등촌1동,37.5569887781271,126.859331594729
149,구립 곰달래어르신복지센터,화곡8동,37.5290599728442,126.848898178399
150,봉제산노인복지센터,화곡본동,37.5415228150151,126.851407866411
151,구립 연지노인복지센터,화곡6동,37.5524146622014,126.85266278742
152,구립 화곡노인복지센터,화곡1동,37.535468012042,126.841098745284
153,호선실버센터,발산1동,37.551305765179,126.827858315253
154,봄날서울요양원,방화1동,37.5741538182864,126.809261517254
155,봄날실버센터,방화2동,37.5689222567249,126.811486208497
156,참사랑실버케어,화곡본동,37.5475444670864,126.849281947719
157,"서울특별시 강서구 초원로2길 27 (방화동, 살렘하우스)",방화2동,37.56639916,126.8066675
158,서울특별시 강서구 등촌동 639번지 11호,등촌1동,37.55927085,126.8544469
159,"서울특별시 강서구 방화동로 126 (방화동, 삼정코아아파트)",방화1동,37.57197863,126.8118953
160,서울특별시 강서구 염창동 264번지 18호,염창동,37.55079966,126.8717662
161,서울특별시 강서구 양천로 431 (가양동),가양2동,37.56426405,126.8499602
162,서울특별시 강서구 내발산동 719번지 6호,발산1동,37.55065655,126.8357969
163,서울특별시 강서구 하늘길 38 (방화동),방화2동,37.565053,126.802987
164,서울특별시 강서구 화곡3동 1065번지 8호,화곡3동,37.54157986,126.8383173
165,서울특별시 강서구 등촌로5길 80 (화곡동),화곡4동,37.53307069,126.8589518
166,서울특별시 강서구 양천로6길 15 (방화동),방화2동,37.57199747,126.8077043
167,서울특별시 강서구 화곡3동 1051번지 27호,화곡3동,37.54284095,126.8385506
168,서울특별시 강서구 강서로 43 (화곡동),화곡1동,37.53152152,126.8465317
169,서울특별시 강서구 화곡로 274 (화곡동,화곡6동,37.548838,126.8475014
170,서울특별시 강서구 방화대로34길 83 (마곡동),방화1동,37.5710637,126.8209514
171,서울특별시 강서구 까치산로 106 (화곡동),화곡본동,37.54754447,126.8492819
172,서울특별시 강서구 화곡1동 1071번지 19호,화곡1동,37.53913898,126.8343665
173,서울특별시 강서구 양천로 687 (염창동),염창동,37.55075247,126.8726214
174,서울특별시 강서구 양천로 410 (등촌동),가양1동,37.56481319,126.846514
175,서울특별시 강서구 마곡동 759번지 마곡센트럴타워Ⅱ,가양1동,37.56810469,126.8254282
176,서울특별시 강서구 마곡동 776번지 2호 마곡센트럴대방디엠시티오피스텔,가양1동,37.56860121,126.8393753
177,서울특별시 강서구 가양동 1458번지 9호 동남빌딩,가양1동,37.57064514,126.8421313
178,서울특별시 강서구 마곡동 768번지 2호 동익드미라벨복합빌딩,방화1동,37.56277597,126.8250242
179,서울특별시 강서구 등촌동 73-1 금부빌딩,등촌3동,37.56161171,126.8532675
180,"서울특별시 강서구 가로공원로80길 40 (화곡동, 화곡 더리브 스카이)",화곡1동,37.53549185,126.8394735
181,서울특별시 강서구 염창동 242-11 한희빌딩,염창동,37.55593755,126.8667563
182,서울특별시 강서구 마곡동 769-3 마곡역(5호선),공항동,37.56029954,126.8248155
183,서울특별시 강서구 마곡동 767-2번지,방화1동,37.56594808,126.8269684
184,서울특별시 강서구 외발산동 427번지,발산1동,37.55327542,126.8211207
185,서울특별시 강서구 가양동 1479-10번지,가양2동,37.56344397,126.8514627
186,서울특별시 강서구 가양동 18-24번지,가양2동,37.56426919,126.8501052
187,서울특별시 강서구 가양동 449-19번지,가양3동,37.55795415,126.8622739
188,서울특별시 강서구 공항동 1370번지,공항동,37.54781848,126.8122686
189,서울특별시 강서구 공항동 1373번지,공항동,37.55589095,126.8081092
190,서울특별시 강서구 공항동 1375번지,공항동,37.56063299,126.8102875
191,서울특별시 강서구 공항동 369-2번지,공항동,37.54589745,126.8140822
192,서울특별시 강서구 내발산동 655번지,발산1동,37.55648888,126.8369635
193,서울특별시 강서구 내발산동 701-4번지,발산1동,37.55222539,126.8360092
194,서울특별시 강서구 내발산동 702-12번지,우장산동,37.55116359,126.8366764
195,서울특별시 강서구 내발산동 709-8번지,발산1동,37.55136323,126.8343955
196,서울특별시 강서구 내발산동 719-6번지,발산1동,37.54958327,126.8359212
197,서울특별시 강서구 등촌동 564-1번지,등촌2동,37.53896062,126.8632431
198,서울특별시 강서구 등촌동 639-11번지,등촌1동,37.5584083,126.8550156
199,서울특별시 강서구 등촌동 639-23번지,등촌1동,37.55786752,126.8560462
200,서울특별시 강서구 등촌동 657번지,등촌3동,37.55683259,126.8509945
201,서울특별시 강서구 등촌동 659번지,등촌3동,37.55797597,126.8492305
202,서울특별시 강서구 등촌동 680-5번지,등촌3동,37.56225882,126.8398307
203,서울특별시 강서구 등촌동 689번지,등촌3동,37.55996288,126.8403499
204,서울특별시 강서구 마곡동 797-10번지,가양1동,37.55983497,126.8352542
205,서울특별시 강서구 마곡동 808번지,발산1동,37.55734484,126.8361273
206,서울특별시 강서구 방화동 886번지,방화2동,37.56680937,126.8029551
207,서울특별시 강서구 염창동 20-85번지,염창동,37.55679526,126.8676876
208,서울특별시 강서구 염창동 259-2번지,염창동,37.54909595,126.8785742
209,서울특별시 강서구 염창동 260-7번지,염창동,37.54791959,126.878034
210,서울특별시 강서구 오곡동 1번지,공항동,37.55442843,126.7940305
211,서울특별시 강서구 오곡동 714번지,공항동,37.55690646,126.7850442
212,서울특별시 강서구 오쇠동 47번지,공항동,37.54538907,126.7980927
213,서울특별시 강서구 외발산동 424번지,발산1동,37.55289258,126.8187557
214,서울특별시 강서구 외발산동 426번지,발산1동,37.54711767,126.8184186
215,서울특별시 강서구 강서로 218 (화곡동),우장산동,37.545605,126.837261
216,서울특별시 강서구 화곡동 105-244번지,화곡본동,37.53930848,126.8436328
217,서울특별시 강서구 화곡동 346-46번지,화곡1동,37.53198298,126.8440323
218,서울특별시 강서구 화곡동 782-3번지,화곡4동,37.53102073,126.8635517
219,서울특별시 강서구 화곡동 836-14번지,화곡2동,37.53239392,126.857355
220,서울특별시 강서구 화곡동 957-10번지,화곡6동,37.55007808,126.8522085
221,서울특별시 강서구 화곡동 1110-3번지,화곡6동,37.55453445,126.8524541
222,서울특별시 강서구 화곡동 918-23번지,화곡1동,37.53024338,126.8446875
223,서울특별시 강서구 마곡동 766-1번지,가양1동,37.56697429,126.8294286
224,서울특별시 강서구 하늘길 70,공항동,37.5619976,126.7963649
225,강서구 하늘길 38(방화동),방화2동,37.57136985,126.8029604
226,강서구 공항대로71길 49(염창동),염창동,37.54951407,126.872808
227,강서구 화곡로18길 24(화곡동,화곡1동,37.53906639,126.835419
