행정동,어린이 인구,장애인 인구,노인 인구,어린이 비율,장애인 비율,노인 비율,유동인구,학교(전체),유아시설,주점,공동주택,행정동 면적,다중이용시설,옐로카펫,지역아동센터,공원,노인장애인보호구역,어린이보호구역,주차장,무인 단속 CCTV,CCTV 총합,불법주정차 단속건수,사망 건수,사고 건수,횡단보도,교통안전지표
염창동,7791,1065,4872,0.1885,0.0258,0.1179,32482,5,30,5,53,1.74,7,2,1,1,0,6,429,9,160,7495,9,265,14,0.0715
등촌1동,2375,735,3226,0.0954,0.0295,0.1296,31546,1,13,6,29,0.64,3,0,0,1,1,3,493,3,107,6341,4,133,17,0.0615
등촌2동,2372,719,3520,0.1222,0.037,0.1813,16456,6,13,0,9,0.92,1,1,0,0,0,3,849,2,128,1888,0,129,3,0.0737
등촌3동,3047,3649,7442,0.1031,0.1235,0.2518,55894,12,21,1,18,0.79,8,4,2,0,2,6,235,5,112,2824,2,217,45,0.0962
화곡본동,3596,1390,5379,0.1085,0.042,0.1624,25690,4,27,4,1,0.98,2,2,2,1,2,7,2041,3,357,4098,1,238,6,0.1043
화곡1동,4169,2093,9102,0.0813,0.0408,0.1776,11659,3,21,121,7,1.12,6,2,3,0,1,4,2720,3,356,13410,2,460,33,0.1163
화곡2동,2087,772,3154,0.1214,0.0449,0.1834,23111,1,11,1,6,0.45,1,1,0,0,0,2,1138,1,138,3829,1,121,4,0.0997
화곡3동,2561,828,4502,0.1205,0.039,0.2118,16871,0,12,12,12,0.53,2,0,0,0,1,3,872,2,128,4245,2,132,7,0.0842
 화곡4동,2037,984,4205,0.1026,0.0496,0.2119,26968,4,15,6,10,0.82,2,1,1,0,0,5,1484,1,208,5120,0,182,5,0.121
화곡6동,2811,990,4386,0.1136,0.04,0.1773,48763,3,12,62,9,1.11,3,2,1,0,1,4,1232,5,190,5820,2,255,11,0.1305
화곡8동,2343,1018,4725,0.0993,0.0431,0.2002,69219,0,17,10,5,0.53,0,0,1,0,1,4,1417,1,151,3628,0,195,6,0.1247
우장산동,8540,779,6551,0.1949,0.0178,0.1495,17806,1,28,4,33,1.36,2,1,1,1,0,7,987,3,204,3073,0,183,19,0.0522
가양1동,3011,2422,3504,0.0886,0.0713,0.1031,14319,3,25,37,13,4.7,6,1,0,2,0,5,515,6,267,16889,3,177,127,0.0282
가양2동,813,1617,4551,0.0601,0.1196,0.3366,39017,3,9,2,6,1,3,1,0,1,0,2,44,3,29,13315,2,127,18,0.1208
가양3동,1026,1515,3934,0.0721,0.1065,0.2764,43085,3,14,0,10,0.5,1,1,0,0,0,1,41,2,47,1801,0,103,22,0.0654
발산1동,7186,1312,5431,0.201,0.0367,0.1519,28145,15,33,0,26,2.94,17,3,1,0,1,5,817,8,175,20476,3,341,112,0.099
공항동,5068,1798,4484,0.1704,0.0604,0.1507,40594,5,21,9,7,10.87,17,2,3,0,0,4,1499,11,215,41748,2,233,60,0.0911
방화1동,7397,1588,7333,0.1751,0.0376,0.1736,17458,7,37,0,40,1.48,6,3,3,0,1,7,1095,5,221,6578,1,202,56,0.0533
방화2동,2249,1987,5197,0.0988,0.0873,0.2283,39267,2,14,6,21,6.41,9,1,1,1,1,5,1224,5,321,7404,9,504,35,0.2101
방화3동,2415,1246,5766,0.1094,0.0564,0.2612,31110,6,15,0,16,2.55,0,3,0,2,0,5,255,7,106,2714,2,84,50,0.046